CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"49,655","16,107","1,41,326",18.82,2.45,-1.20,"39,600",2.45,2.50,"1,79,700","26,200.00",675,"1,395.50","1,415.05",75,116.80,"1,429.85",30.29,19,10,127,
,"14,333","5,197","33,607",19.17,2.25,-0.95,"64,050",2.20,2.25,"46,350","26,250.00",750,"1,435.75","1,484.75",300,-,-,-,-,-,13,
,"40,557","15,944","1,00,614",19.56,2.15,-0.75,"1,26,000",2.10,2.15,"1,51,500","26,300.00",150,"1,496.75","1,521.60",75,19.75,"1,537.00",33.36,5,-,12,
,"11,183","4,581","26,566",20.05,2.00,-0.65,"64,650",2.00,2.05,"47,550","26,350.00",750,"1,503.30","1,587.10",750,-,-,-,-,-,11,
,"35,864","7,738","71,921",20.47,1.95,-0.45,"89,250",1.90,1.95,"95,475","26,400.00",750,"1,563.10","1,643.40",900,-,-,-,-,-,17,
,"22,584","8,715","42,405",20.94,1.90,-0.50,"91,500",1.85,1.90,"82,275","26,450.00",750,"1,605.05","1,687.35",825,1.10,"1,631.65",-,4,-,12,
,"1,13,886","22,529","2,01,855",21.41,1.90,-0.45,"1,50,825",1.85,1.90,"2,58,675","26,500.00",750,"1,673.70","1,742.45",750,-,-,-,-,-,228,
,"16,294","3,639","18,802",21.80,1.80,-0.35,"48,675",1.75,1.80,"64,950","26,550.00",750,"1,718.95","1,794.45",900,-,-,-,-,-,10,
,"23,860","11,786","59,378",22.32,1.80,-0.35,"1,54,500",1.75,1.80,"1,56,225","26,600.00",750,"1,738.30","1,855.80",750,-,-,-,-,-,12,
,"6,012",229,"18,392",22.77,1.70,-0.30,"57,225",1.65,1.70,"50,625","26,650.00",750,"1,794.70","1,892.85",900,-,-,-,-,-,11,
,"29,636","11,120","71,409",23.13,1.60,-0.45,"2,61,975",1.60,1.65,"1,62,150","26,700.00",750,"1,852.00","1,947.15",750,-,-,-,-,-,9,
,"17,395","10,641","47,839",23.65,1.60,-0.50,"1,27,200",1.60,1.65,"84,525","26,750.00",750,"1,898.85","1,997.40",825,-,-,-,-,-,13,
,"1,77,625","32,505","2,47,784",24.07,1.60,-0.35,"2,75,625",1.55,1.60,"3,47,025","26,800.00",750,"1,950.50","2,047.60",375,-,-,-,-,-,67,
